session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
3,2,ccz04v4w,45,incomplete_mean,ResultsWaitPage,1583950974,18,28,False
3,2,ccz04v4w,46,incomplete_mean,Results,1583950980,6,28,False
3,2,ccz04v4w,51,incomplete_mean,Cutoff,1583950988,8,29,False
3,2,ccz04v4w,52,incomplete_mean,CutWaitPage,1583950999,11,29,False
3,2,ccz04v4w,53,incomplete_mean,ResultsWaitPage,1583951000,1,29,False
3,2,ccz04v4w,54,incomplete_mean,Results,1583951009,9,29,False
3,2,ccz04v4w,59,incomplete_mean,Cutoff,1583951015,6,30,False
3,2,ccz04v4w,60,incomplete_mean,CutWaitPage,1583951016,1,30,False
3,2,ccz04v4w,61,incomplete_mean,ResultsWaitPage,1583951028,12,30,False
3,2,ccz04v4w,62,incomplete_mean,Results,1583951038,10,30,False
3,2,ccz04v4w,67,incomplete_mean,Cutoff,1583951048,10,31,False
3,2,ccz04v4w,68,incomplete_mean,CutWaitPage,1583951048,0,31,False
3,2,ccz04v4w,69,incomplete_mean,ResultsWaitPage,1583951065,17,31,False
3,2,ccz04v4w,70,incomplete_mean,Results,1583951077,12,31,False
3,2,ccz04v4w,75,incomplete_mean,Cutoff,1583951083,6,32,False
3,2,ccz04v4w,76,incomplete_mean,CutWaitPage,1583951083,0,32,False
3,2,ccz04v4w,77,incomplete_mean,ResultsWaitPage,1583951105,22,32,False
3,2,ccz04v4w,78,incomplete_mean,Results,1583951111,6,32,False
3,2,ccz04v4w,83,incomplete_mean,Cutoff,1583951115,4,33,False
3,2,ccz04v4w,84,incomplete_mean,CutWaitPage,1583951130,15,33,False
3,2,ccz04v4w,85,incomplete_mean,ResultsWaitPage,1583951133,3,33,False
3,2,ccz04v4w,86,incomplete_mean,Results,1583951141,8,33,False
3,2,ccz04v4w,88,incomplete_mean,Pagos,1583951173,32,33,False
3,2,ccz04v4w,89,survey,CognitiveReflectionTest,1583951214,41,3,False
3,2,ccz04v4w,90,survey2,DemographicsPageOne,1583951317,103,3,False
3,2,ccz04v4w,91,survey2,DemographicsPageTwo,1583951360,43,3,False
3,2,ccz04v4w,92,survey2,DemographicsPageThree,1583951416,56,3,False
3,2,ccz04v4w,93,survey2,DemographicsPageFour,1583951487,71,3,False
3,3,p9axpczh,1,incomplete_mean,Welcome,1583950135,66,23,False
3,3,p9axpczh,2,incomplete_mean,Instructions,1583950315,180,23,False
3,3,p9axpczh,3,incomplete_mean,Cutoff,1583950415,100,23,False
3,3,p9axpczh,4,incomplete_mean,CutWaitPage,1583950716,301,23,False
3,3,p9axpczh,5,incomplete_mean,ResultsWaitPage,1583950716,0,23,False
3,3,p9axpczh,6,incomplete_mean,Results,1583950728,12,23,False
3,3,p9axpczh,7,incomplete_mean,Trial,1583950730,2,23,False
3,3,p9axpczh,11,incomplete_mean,Cutoff,1583950780,50,24,False
3,3,p9axpczh,12,incomplete_mean,CutWaitPage,1583950787,7,24,False
3,3,p9axpczh,13,incomplete_mean,ResultsWaitPage,1583950789,2,24,False
3,3,p9axpczh,14,incomplete_mean,Results,1583950798,9,24,False
3,3,p9axpczh,19,incomplete_mean,Cutoff,1583950814,16,25,False
3,3,p9axpczh,20,incomplete_mean,CutWaitPage,1583950814,0,25,False
3,3,p9axpczh,21,incomplete_mean,ResultsWaitPage,1583950843,29,25,False
3,3,p9axpczh,22,incomplete_mean,Results,1583950854,11,25,False
3,3,p9axpczh,27,incomplete_mean,Cutoff,1583950862,8,26,False
3,3,p9axpczh,28,incomplete_mean,CutWaitPage,1583950862,0,26,False
3,3,p9axpczh,29,incomplete_mean,ResultsWaitPage,1583950904,42,26,False
3,3,p9axpczh,30,incomplete_mean,Results,1583950908,4,26,False
3,3,p9axpczh,35,incomplete_mean,Cutoff,1583950913,5,27,False
3,3,p9axpczh,36,incomplete_mean,CutWaitPage,1583950930,17,27,False
3,3,p9axpczh,37,incomplete_mean,ResultsWaitPage,1583950943,13,27,False
3,3,p9axpczh,38,incomplete_mean,Results,1583950962,19,27,False
3,3,p9axpczh,43,incomplete_mean,Cutoff,1583950968,6,28,False
3,3,p9axpczh,44,incomplete_mean,CutWaitPage,1583950968,0,28,False
3,3,p9axpczh,45,incomplete_mean,ResultsWaitPage,1583950973,5,28,False
3,3,p9axpczh,46,incomplete_mean,Results,1583950977,4,28,False
3,3,p9axpczh,51,incomplete_mean,Cutoff,1583950982,5,29,False
3,3,p9axpczh,52,incomplete_mean,CutWaitPage,1583950994,12,29,False
3,3,p9axpczh,53,incomplete_mean,ResultsWaitPage,1583951001,7,29,False
3,3,p9axpczh,54,incomplete_mean,Results,1583951006,5,29,False
3,3,p9axpczh,59,incomplete_mean,Cutoff,1583951010,4,30,False
3,3,p9axpczh,60,incomplete_mean,CutWaitPage,1583951025,15,30,False
3,3,p9axpczh,61,incomplete_mean,ResultsWaitPage,1583951028,3,30,False
3,3,p9axpczh,62,incomplete_mean,Results,1583951031,3,30,False
3,3,p9axpczh,67,incomplete_mean,Cutoff,1583951040,9,31,False
3,3,p9axpczh,68,incomplete_mean,CutWaitPage,1583951040,0,31,False
3,3,p9axpczh,69,incomplete_mean,ResultsWaitPage,1583951064,24,31,False
3,3,p9axpczh,70,incomplete_mean,Results,1583951070,6,31,False
3,3,p9axpczh,75,incomplete_mean,Cutoff,1583951075,5,32,False
3,3,p9axpczh,76,incomplete_mean,CutWaitPage,1583951083,8,32,False
3,3,p9axpczh,77,incomplete_mean,ResultsWaitPage,1583951105,22,32,False
3,3,p9axpczh,78,incomplete_mean,Results,1583951110,5,32,False
